10	/N + 1 EM	ISSIVITY	COEFFTS./				
5680.9	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    1
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.41E-41	1.32E-31	4.88E-25	2.18E-20	4.13E-17
8.27E-15	3.37E-13	4.42E-12	2.60E-11	8.59E-11	1.88E-10	3.07E-10	4.06E-10
4.61E-10	4.75E-10	4.58E-10	4.26E-10	3.86E-10	3.45E-10	3.05E-10	2.69E-10
2.37E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.09E-10	9.67E-11
8.56E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.41E-41	1.32E-31	4.88E-25	2.18E-20	4.13E-17
8.26E-15	3.35E-13	4.38E-12	2.57E-11	8.47E-11	1.85E-10	3.03E-10	4.00E-10
4.56E-10	4.70E-10	4.55E-10	4.24E-10	3.85E-10	3.44E-10	3.05E-10	2.69E-10
2.37E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.09E-10	9.67E-11
8.56E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.41E-41	1.32E-31	4.88E-25	2.18E-20	4.12E-17
8.24E-15	3.34E-13	4.36E-12	2.54E-11	8.38E-11	1.83E-10	2.99E-10	3.96E-10
4.52E-10	4.67E-10	4.53E-10	4.23E-10	3.84E-10	3.44E-10	3.05E-10	2.69E-10
2.37E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.09E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.42E-41	1.32E-31	4.88E-25	2.18E-20	4.12E-17
8.23E-15	3.33E-13	4.34E-12	2.53E-11	8.33E-11	1.82E-10	2.98E-10	3.94E-10
4.50E-10	4.66E-10	4.52E-10	4.22E-10	3.84E-10	3.43E-10	3.05E-10	2.69E-10
2.37E-10	2.08E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.09E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.43E-41	1.32E-31	4.88E-25	2.18E-20	4.12E-17
8.22E-15	3.32E-13	4.32E-12	2.52E-11	8.30E-11	1.82E-10	2.96E-10	3.92E-10
4.49E-10	4.65E-10	4.51E-10	4.21E-10	3.83E-10	3.43E-10	3.04E-10	2.69E-10
2.37E-10	2.08E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.46E-41	1.32E-31	4.88E-25	2.17E-20	4.11E-17
8.20E-15	3.31E-13	4.31E-12	2.51E-11	8.26E-11	1.81E-10	2.95E-10	3.91E-10
4.47E-10	4.63E-10	4.50E-10	4.20E-10	3.83E-10	3.43E-10	3.04E-10	2.69E-10
2.37E-10	2.08E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.68E-11
8.58E-11	7.62E-11	6.79E-11					
1.00E-74	1.00E-74	1.00E-74	7.48E-41	1.32E-31	4.87E-25	2.16E-20	4.09E-17
8.15E-15	3.29E-13	4.27E-12	2.49E-11	8.18E-11	1.79E-10	2.92E-10	3.87E-10
4.43E-10	4.60E-10	4.47E-10	4.18E-10	3.81E-10	3.42E-10	3.04E-10	2.68E-10
2.37E-10	2.08E-10	1.83E-10	1.61E-10	1.42E-10	1.25E-10	1.10E-10	9.70E-11
8.59E-11	7.63E-11	6.80E-11					
1.00E-74	1.00E-74	1.00E-74	7.38E-41	1.30E-31	4.79E-25	2.13E-20	4.01E-17
7.99E-15	3.22E-13	4.17E-12	2.43E-11	7.97E-11	1.74E-10	2.84E-10	3.77E-10
4.33E-10	4.50E-10	4.39E-10	4.12E-10	3.76E-10	3.38E-10	3.01E-10	2.67E-10
2.36E-10	2.08E-10	1.83E-10	1.61E-10	1.42E-10	1.25E-10	1.10E-10	9.73E-11
8.62E-11	7.66E-11	6.83E-11					
1.00E-74	1.00E-74	1.00E-74	6.86E-41	1.22E-31	4.52E-25	2.01E-20	3.81E-17
7.57E-15	3.04E-13	3.92E-12	2.27E-11	7.41E-11	1.62E-10	2.64E-10	3.50E-10
4.04E-10	4.23E-10	4.15E-10	3.92E-10	3.61E-10	3.27E-10	2.93E-10	2.61E-10
2.32E-10	2.05E-10	1.82E-10	1.60E-10	1.41E-10	1.25E-10	1.10E-10	9.78E-11
8.68E-11	7.72E-11	6.89E-11					
1.00E-74	1.00E-74	1.00E-74	5.62E-41	1.03E-31	3.87E-25	1.75E-20	3.34E-17
6.63E-15	2.64E-13	3.36E-12	1.92E-11	6.20E-11	1.34E-10	2.18E-10	2.90E-10
3.37E-10	3.57E-10	3.56E-10	3.41E-10	3.19E-10	2.93E-10	2.67E-10	2.41E-10
2.17E-10	1.94E-10	1.74E-10	1.55E-10	1.38E-10	1.23E-10	1.09E-10	9.73E-11
8.68E-11	7.76E-11	6.95E-11					
1.00E-74	1.00E-74	1.00E-74	3.96E-41	7.46E-32	2.89E-25	1.34E-20	2.58E-17
5.11E-15	2.00E-13	2.49E-12	1.38E-11	4.38E-11	9.30E-11	1.50E-10	1.99E-10
2.33E-10	2.50E-10	2.54E-10	2.49E-10	2.38E-10	2.24E-10	2.09E-10	1.93E-10
1.78E-10	1.63E-10	1.49E-10	1.36E-10	1.24E-10	1.12E-10	1.01E-10	9.18E-11
8.31E-11	7.52E-11	6.80E-11					
1.00E-74	1.00E-74	1.00E-74	2.56E-41	4.90E-32	1.94E-25	9.13E-21	1.78E-17
3.50E-15	1.34E-13	1.61E-12	8.65E-12	2.65E-11	5.51E-11	8.73E-11	1.15E-10
1.35E-10	1.47E-10	1.51E-10	1.51E-10	1.47E-10	1.42E-10	1.35E-10	1.28E-10
