10	/N + 1 EM	ISSIVITY	COEFFTS./				
5680.9	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    1
4.76E-20	4.95E-18	1.27E-16	1.19E-15	5.50E-15	1.53E-14	2.91E-14	4.17E-14
4.83E-14	4.75E-14	4.10E-14	3.23E-14	2.43E-14	1.80E-14	1.34E-14	1.02E-14
7.91E-15	6.26E-15	5.07E-15	4.18E-15	3.51E-15	2.98E-15	2.57E-15	2.23E-15
1.95E-15	1.72E-15	1.52E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.47E-41	9.71E-33	5.52E-27	6.48E-23
4.81E-20	4.98E-18	1.27E-16	1.19E-15	5.50E-15	1.52E-14	2.89E-14	4.14E-14
4.79E-14	4.71E-14	4.06E-14	3.20E-14	2.41E-14	1.78E-14	1.33E-14	1.01E-14
7.87E-15	6.24E-15	5.05E-15	4.18E-15	3.51E-15	2.99E-15	2.58E-15	2.24E-15
1.97E-15	1.73E-15	1.53E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.54E-41	9.80E-33	5.56E-27	6.53E-23
4.83E-20	4.99E-18	1.27E-16	1.19E-15	5.45E-15	1.50E-14	2.86E-14	4.08E-14
4.71E-14	4.63E-14	4.00E-14	3.15E-14	2.37E-14	1.76E-14	1.31E-14	1.00E-14
7.78E-15	6.17E-15	5.01E-15	4.14E-15	3.48E-15	2.97E-15	2.56E-15	2.23E-15
1.96E-15	1.73E-15	1.53E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.57E-41	9.85E-33	5.59E-27	6.56E-23
4.84E-20	4.99E-18	1.26E-16	1.18E-15	5.39E-15	1.48E-14	2.81E-14	4.02E-14
4.64E-14	4.56E-14	3.94E-14	3.11E-14	2.34E-14	1.74E-14	1.30E-14	9.89E-15
7.70E-15	6.11E-15	4.96E-15	4.10E-15	3.45E-15	2.94E-15	2.54E-15	2.21E-15
1.94E-15	1.71E-15	1.52E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.59E-41	9.88E-33	5.61E-27	6.57E-23
4.85E-20	4.98E-18	1.26E-16	1.17E-15	5.34E-15	1.47E-14	2.79E-14	3.98E-14
4.60E-14	4.52E-14	3.90E-14	3.08E-14	2.32E-14	1.72E-14	1.29E-14	9.83E-15
7.65E-15	6.07E-15	4.93E-15	4.08E-15	3.43E-15	2.92E-15	2.52E-15	2.19E-15
1.93E-15	1.70E-15	1.51E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.60E-41	9.89E-33	5.61E-27	6.58E-23
4.85E-20	4.98E-18	1.25E-16	1.16E-15	5.32E-15	1.46E-14	2.77E-14	3.96E-14
4.57E-14	4.49E-14	3.88E-14	3.07E-14	2.31E-14	1.72E-14	1.29E-14	9.79E-15
7.63E-15	6.06E-15	4.91E-15	4.06E-15	3.42E-15	2.91E-15	2.51E-15	2.19E-15
1.92E-15	1.69E-15	1.50E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.60E-41	9.89E-33	5.62E-27	6.58E-23
4.85E-20	4.97E-18	1.25E-16	1.16E-15	5.29E-15	1.45E-14	2.76E-14	3.94E-14
4.55E-14	4.47E-14	3.87E-14	3.06E-14	2.30E-14	1.71E-14	1.28E-14	9.78E-15
7.61E-15	6.05E-15	4.90E-15	4.06E-15	3.41E-15	2.91E-15	2.50E-15	2.18E-15
1.91E-15	1.69E-15	1.49E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.60E-41	9.89E-33	5.62E-27	6.58E-23
4.84E-20	4.96E-18	1.25E-16	1.15E-15	5.26E-15	1.44E-14	2.74E-14	3.91E-14
4.52E-14	4.45E-14	3.85E-14	3.05E-14	2.30E-14	1.71E-14	1.28E-14	9.77E-15
7.61E-15	6.04E-15	4.90E-15	4.06E-15	3.41E-15	2.90E-15	2.50E-15	2.18E-15
1.91E-15	1.69E-15	1.49E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.60E-41	9.89E-33	5.61E-27	6.57E-23
4.83E-20	4.94E-18	1.24E-16	1.14E-15	5.20E-15	1.43E-14	2.71E-14	3.87E-14
4.48E-14	4.41E-14	3.83E-14	3.03E-14	2.29E-14	1.71E-14	1.28E-14	9.75E-15
7.60E-15	6.04E-15	4.90E-15	4.05E-15	3.41E-15	2.90E-15	2.50E-15	2.18E-15
1.91E-15	1.69E-15	1.49E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.59E-41	9.87E-33	5.60E-27	6.56E-23
4.82E-20	4.91E-18	1.23E-16	1.13E-15	5.12E-15	1.40E-14	2.66E-14	3.81E-14
4.42E-14	4.36E-14	3.79E-14	3.01E-14	2.28E-14	1.70E-14	1.28E-14	9.74E-15
7.59E-15	6.03E-15	4.89E-15	4.05E-15	3.40E-15	2.90E-15	2.50E-15	2.18E-15
1.91E-15	1.68E-15	1.49E-15					
1.00E-74	1.00E-74	1.00E-74	5.36E-52	7.56E-41	9.84E-33	5.58E-27	6.53E-23
4.79E-20	4.86E-18	1.21E-16	1.11E-15	5.03E-15	1.38E-14	2.61E-14	3.74E-14
4.35E-14	4.31E-14	3.76E-14	2.99E-14	2.27E-14	1.69E-14	1.27E-14	9.72E-15
7.58E-15	6.02E-15	4.89E-15	4.05E-15	3.40E-15	2.90E-15	2.50E-15	2.18E-15
1.91E-15	1.68E-15	1.49E-15					
1.00E-74	1.00E-74	1.00E-74	2.18E-52	7.50E-41	9.75E-33	5.53E-27	6.47E-23
4.73E-20	4.80E-18	1.19E-16	1.09E-15	4.93E-15	1.35E-14	2.56E-14	3.68E-14
4.29E-14	4.25E-14	3.72E-14	2.97E-14	2.25E-14	1.68E-14	1.27E-14	9.68E-15
7.55E-15	6.00E-15	4.88E-15	4.04E-15	3.39E-15	2.89E-15	2.49E-15	2.17E-15
1.91E-15	1.68E-15	1.49E-15					
1.00E-74	1.00E-74	1.00E-74	2.65E-52	7.35E-41	9.55E-33	5.41E-27	6.32E-23
4.62E-20	4.68E-18	1.16E-16	1.06E-15	4.80E-15	1.32E-14	2.50E-14	3.60E-14
4.20E-14	4.18E-14	3.66E-14	2.92E-14	2.22E-14	1.67E-14	1.25E-14	9.59E-15
7.49E-15	5.96E-15	4.85E-15	4.02E-15	3.38E-15	2.88E-15	2.49E-15	2.17E-15
1.90E-15	1.68E-15	1.49E-15					
1.00E-74	1.00E-74	1.00E-74	2.52E-52	7.02E-41	9.09E-33	5.14E-27	5.99E-23
4.37E-20	4.43E-18	1.10E-16	1.01E-15	4.56E-15	1.25E-14	2.38E-14	3.44E-14
4.02E-14	4.02E-14	3.53E-14	2.83E-14	2.16E-14	1.62E-14	1.22E-14	9.39E-15
7.35E-15	5.86E-15	4.77E-15	3.96E-15	3.34E-15	2.85E-15	2.46E-15	2.15E-15
1.89E-15	1.67E-15	1.48E-15					
1.00E-74	1.00E-74	1.00E-74	2.48E-52	6.33E-41	8.15E-33	4.58E-27	5.32E-23
3.88E-20	3.92E-18	9.74E-17	8.94E-16	4.07E-15	1.12E-14	2.15E-14	3.11E-14
3.67E-14	3.68E-14	3.26E-14	2.63E-14	2.02E-14	1.53E-14	1.16E-14	8.94E-15
7.03E-15	5.64E-15	4.61E-15	3.84E-15	3.25E-15	2.78E-15	2.41E-15	2.11E-15
1.86E-15	1.64E-15	1.46E-15					
1.00E-74	1.00E-74	1.00E-74	1.96E-52	5.15E-41	6.56E-33	3.65E-27	4.20E-23
3.05E-20	3.09E-18	7.69E-17	7.09E-16	3.24E-15	9.01E-15	1.74E-14	2.54E-14
3.02E-14	3.07E-14	2.75E-14	2.24E-14	1.74E-14	1.33E-14	1.02E-14	8.00E-15
6.36E-15	5.15E-15	4.25E-15	3.58E-15	3.05E-15	2.63E-15	2.29E-15	2.02E-15
1.79E-15	1.59E-15	1.41E-15					
1.00E-74	1.00E-74	1.00E-74	1.44E-52	3.67E-41	4.60E-33	2.52E-27	2.87E-23
2.07E-20	2.09E-18	5.20E-17	4.81E-16	2.21E-15	6.19E-15	1.20E-14	1.78E-14
2.14E-14	2.20E-14	2.00E-14	1.67E-14	1.32E-14	1.03E-14	8.05E-15	6.40E-15
5.19E-15	4.28E-15	3.59E-15	3.07E-15	2.66E-15	2.32E-15	2.05E-15	1.83E-15
1.63E-15	1.47E-15	1.32E-15					
1.00E-74	1.00E-74	1.00E-74	9.48E-53	2.40E-41	2.95E-33	1.59E-27	1.78E-23
1.26E-20	1.27E-18	3.13E-17	2.88E-16	1.32E-15	3.70E-15	7.20E-15	1.07E-14
1.30E-14	1.35E-14	1.25E-14	1.06E-14	8.54E-15	6.80E-15	5.44E-15	4.43E-15
3.67E-15	3.10E-15	2.66E-15	2.33E-15	2.06E-15	1.84E-15	1.65E-15	1.50E-15
1.37E-15	1.25E-15	1.14E-15					
1.00E-74	1.00E-74	1.00E-74	6.39E-53	1.61E-41	1.95E-33	1.03E-27	1.12E-23
7.80E-21	7.65E-19	1.85E-17	1.68E-16	7.61E-16	2.11E-15	4.07E-15	6.02E-15
7.31E-15	7.65E-15	7.13E-15	6.12E-15	5.02E-15	4.07E-15	3.32E-15	2.76E-15
2.33E-15	2.00E-15	1.76E-15	1.56E-15	1.41E-15	1.28E-15	1.18E-15	1.09E-15
1.02E-15	9.48E-16	8.84E-16					
1.00E-74	1.00E-74	1.00E-74	4.81E-53	1.22E-41	1.48E-33	7.70E-28	8.16E-24
5.45E-21	5.15E-19	1.20E-17	1.06E-16	4.67E-16	1.26E-15	2.39E-15	3.49E-15
4.22E-15	4.42E-15	4.15E-15	3.61E-15	3.01E-15	2.49E-15	2.07E-15	1.74E-15
1.49E-15	1.30E-15	1.15E-15	1.03E-15	9.38E-16	8.62E-16	8.01E-16	7.50E-16
7.06E-16	6.67E-16	6.32E-16					
1.00E-74	1.00E-74	1.00E-74	4.04E-53	1.05E-41	1.30E-33	6.70E-28	6.93E-24
4.42E-21	3.96E-19	8.74E-18	7.33E-17	3.11E-16	8.12E-16	1.50E-15	2.15E-15
2.57E-15	2.70E-15	2.57E-15	2.27E-15	1.95E-15	1.65E-15	1.41E-15	1.21E-15
1.06E-15	9.31E-16	8.30E-16	7.50E-16	6.84E-16	6.29E-16	5.84E-16	5.46E-16
5.14E-16	4.86E-16	4.61E-16					
1.00E-74	1.00E-74	1.00E-74	3.63E-53	9.54E-42	1.20E-33	6.26E-28	6.39E-24
3.91E-21	3.29E-19	6.76E-18	5.30E-17	2.13E-16	5.33E-16	9.51E-16	1.33E-15
1.58E-15	1.67E-15	1.61E-15	1.46E-15	1.29E-15	1.13E-15	9.92E-16	8.80E-16
7.88E-16	7.10E-16	6.44E-16	5.90E-16	5.45E-16	5.05E-16	4.70E-16	4.40E-16
4.14E-16	3.91E-16	3.70E-16					
5547.3	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    4
1.00E+06	2.46E+06	6.06E+06	1.49E+07	3.67E+07	9.05E+07	2.23E+08	5.48E+08
1.35E+09	3.32E+09	8.19E+09	2.02E+10	4.96E+10	1.22E+11	3.01E+11	7.41E+11
1.82E+12	4.49E+12	1.11E+13	2.72E+13	6.70E+13	1.65E+14	4.06E+14	1.00E+15
1.00E-01	1.40E-01	1.97E-01	2.76E-01	3.87E-01	5.44E-01	7.63E-01	1.07E+00
1.50E+00	2.11E+00	2.96E+00	4.15E+00	5.82E+00	8.16E+00	1.15E+01	1.61E+01
2.25E+01	3.16E+01	4.44E+01	6.22E+01	8.73E+01	1.23E+02	1.72E+02	2.41E+02
3.38E+02	4.75E+02	6.66E+02	9.35E+02	1.31E+03	1.84E+03	2.58E+03	3.62E+03
5.08E+03	7.13E+03	1.00E+04					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	1.32E-42	1.86E-34	1.10E-28	1.32E-24
9.90E-22	1.03E-19	2.64E-18	2.49E-17	1.15E-16	3.21E-16	6.20E-16	9.05E-16
1.07E-15	1.08E-15	9.46E-16	7.57E-16	5.75E-16	4.28E-16	3.20E-16	2.43E-16
1.88E-16	1.48E-16	1.19E-16	9.75E-17	8.12E-17	6.86E-17	5.85E-17	5.04E-17
4.37E-17	3.80E-17	3.31E-17					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	1.93E-42	2.67E-34	1.55E-28	1.82E-24
1.33E-21	1.35E-19	3.40E-18	3.16E-17	1.45E-16	4.02E-16	7.75E-16	1.13E-15
1.34E-15	1.35E-15	1.19E-15	9.44E-16	7.11E-16	5.25E-16	3.88E-16	2.91E-16
2.22E-16	1.73E-16	1.38E-16	1.13E-16	9.33E-17	7.86E-17	6.70E-17	5.77E-17
5.01E-17	4.37E-17	3.82E-17					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	2.96E-42	4.08E-34	2.35E-28	2.72E-24
1.96E-21	1.96E-19	4.82E-18	4.39E-17	1.99E-16	5.46E-16	1.05E-15	1.53E-15
1.81E-15	1.82E-15	1.60E-15	1.26E-15	9.43E-16	6.87E-16	5.01E-16	3.70E-16
2.79E-16	2.15E-16	1.69E-16	1.36E-16	1.12E-16	9.31E-17	7.88E-17	6.74E-17
5.82E-17	5.05E-17	4.41E-17					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	4.25E-42	5.98E-34	3.51E-28	4.11E-24
2.97E-21	2.97E-19	7.26E-18	6.54E-17	2.92E-16	7.91E-16	1.50E-15	2.17E-15
2.56E-15	2.55E-15	2.22E-15	1.74E-15	1.29E-15	9.31E-16	6.71E-16	4.90E-16
3.66E-16	2.79E-16	2.17E-16	1.73E-16	1.41E-16	1.17E-16	9.81E-17	8.34E-17
7.15E-17	6.17E-17	5.35E-17					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	5.38E-42	7.78E-34	4.69E-28	5.64E-24
4.17E-21	4.23E-19	1.04E-17	9.41E-17	4.16E-16	1.11E-15	2.07E-15	2.94E-15
3.42E-15	3.37E-15	2.91E-15	2.27E-15	1.67E-15	1.20E-15	8.58E-16	6.25E-16
4.65E-16	3.53E-16	2.75E-16	2.19E-16	1.78E-16	1.48E-16	1.24E-16	1.06E-16
9.09E-17	7.84E-17	6.79E-17					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.09E-42	8.97E-34	5.52E-28	6.80E-24
5.14E-21	5.32E-19	1.33E-17	1.21E-16	5.31E-16	1.40E-15	2.56E-15	3.59E-15
4.11E-15	4.01E-15	3.44E-15	2.67E-15	1.96E-15	1.40E-15	1.00E-15	7.29E-16
5.43E-16	4.13E-16	3.22E-16	2.58E-16	2.12E-16	1.77E-16	1.50E-16	1.28E-16
1.11E-16	9.67E-17	8.45E-17					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.44E-42	9.59E-34	5.97E-28	7.45E-24
5.72E-21	5.99E-19	1.51E-17	1.38E-16	6.06E-16	1.59E-15	2.87E-15	3.98E-15
4.52E-15	4.38E-15	3.74E-15	2.90E-15	2.12E-15	1.51E-15	1.08E-15	7.88E-16
5.88E-16	4.48E-16	3.51E-16	2.83E-16	2.33E-16	1.95E-16	1.67E-16	1.44E-16
1.26E-16	1.11E-16	9.77E-17					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.60E-42	9.87E-34	6.18E-28	7.76E-24
5.99E-21	6.32E-19	1.61E-17	1.47E-16	6.45E-16	1.68E-15	3.03E-15	4.17E-15
4.71E-15	4.56E-15	3.88E-15	3.00E-15	2.19E-15	1.57E-15	1.12E-15	8.17E-16
6.09E-16	4.65E-16	3.65E-16	2.95E-16	2.43E-16	2.05E-16	1.76E-16	1.53E-16
1.34E-16	1.19E-16	1.05E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.67E-42	9.99E-34	6.27E-28	7.90E-24
6.11E-21	6.47E-19	1.65E-17	1.51E-16	6.60E-16	1.72E-15	3.09E-15	4.24E-15
4.79E-15	4.62E-15	3.94E-15	3.05E-15	2.23E-15	1.59E-15	1.14E-15	8.29E-16
6.19E-16	4.73E-16	3.71E-16	3.00E-16	2.48E-16	2.09E-16	1.80E-16	1.57E-16
1.38E-16	1.22E-16	1.09E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.70E-42	1.00E-33	6.31E-28	7.95E-24
6.16E-21	6.52E-19	1.66E-17	1.52E-16	6.64E-16	1.73E-15	3.10E-15	4.26E-15
4.80E-15	4.64E-15	3.95E-15	3.06E-15	2.24E-15	1.60E-15	1.14E-15	8.34E-16
6.23E-16	4.76E-16	3.74E-16	3.02E-16	2.50E-16	2.11E-16	1.81E-16	1.58E-16
1.40E-16	1.24E-16	1.11E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.71E-42	1.01E-33	6.32E-28	7.97E-24
6.17E-21	6.52E-19	1.65E-17	1.51E-16	6.61E-16	1.71E-15	3.07E-15	4.23E-15
4.77E-15	4.61E-15	3.93E-15	3.05E-15	2.23E-15	1.60E-15	1.15E-15	8.35E-16
6.24E-16	4.77E-16	3.75E-16	3.03E-16	2.51E-16	2.12E-16	1.82E-16	1.59E-16
1.40E-16	1.25E-16	1.12E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.70E-42	1.01E-33	6.32E-28	7.97E-24
6.16E-21	6.49E-19	1.64E-17	1.49E-16	6.52E-16	1.69E-15	3.03E-15	4.17E-15
4.71E-15	4.57E-15	3.91E-15	3.04E-15	2.23E-15	1.60E-15	1.14E-15	8.35E-16
6.24E-16	4.77E-16	3.75E-16	3.03E-16	2.51E-16	2.12E-16	1.82E-16	1.59E-16
1.41E-16	1.25E-16	1.12E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.69E-42	1.00E-33	6.31E-28	7.94E-24
6.14E-21	6.44E-19	1.62E-17	1.47E-16	6.41E-16	1.66E-15	2.98E-15	4.10E-15
4.65E-15	4.52E-15	3.87E-15	3.02E-15	2.22E-15	1.59E-15	1.14E-15	8.34E-16
6.24E-16	4.77E-16	3.75E-16	3.03E-16	2.51E-16	2.12E-16	1.82E-16	1.59E-16
1.41E-16	1.25E-16	1.12E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.66E-42	9.98E-34	6.27E-28	7.89E-24
6.09E-21	6.38E-19	1.60E-17	1.45E-16	6.31E-16	1.63E-15	2.93E-15	4.05E-15
4.59E-15	4.47E-15	3.84E-15	3.00E-15	2.21E-15	1.59E-15	1.14E-15	8.32E-16
6.22E-16	4.76E-16	3.74E-16	3.03E-16	2.51E-16	2.12E-16	1.82E-16	1.59E-16
1.41E-16	1.25E-16	1.12E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	6.58E-42	9.84E-34	6.17E-28	7.76E-24
5.98E-21	6.26E-19	1.57E-17	1.42E-16	6.19E-16	1.60E-15	2.88E-15	3.98E-15
4.52E-15	4.42E-15	3.80E-15	2.97E-15	2.19E-15	1.57E-15	1.13E-15	8.28E-16
6.20E-16	4.74E-16	3.73E-16	3.02E-16	2.50E-16	2.12E-16	1.82E-16	1.59E-16
1.41E-16	1.25E-16	1.12E-16					
1.00E-74	1.00E-74	1.00E-74	2.99E-53	6.38E-42	9.51E-34	5.95E-28	7.47E-24
5.75E-21	6.02E-19	1.51E-17	1.37E-16	5.96E-16	1.55E-15	2.79E-15	3.86E-15
4.40E-15	4.31E-15	3.72E-15	2.91E-15	2.15E-15	1.55E-15	1.12E-15	8.17E-16
6.13E-16	4.70E-16	3.70E-16	3.00E-16	2.49E-16	2.10E-16	1.81E-16	1.58E-16
1.40E-16	1.25E-16	1.11E-16					
1.00E-74	1.00E-74	1.00E-74	2.43E-53	5.95E-42	8.80E-34	5.47E-28	6.85E-24
5.26E-21	5.51E-19	1.39E-17	1.26E-16	5.50E-16	1.43E-15	2.60E-15	3.61E-15
4.14E-15	4.07E-15	3.53E-15	2.78E-15	2.06E-15	1.49E-15	1.08E-15	7.93E-16
5.97E-16	4.59E-16	3.63E-16	2.95E-16	2.45E-16	2.08E-16	1.79E-16	1.57E-16
1.39E-16	1.24E-16	1.11E-16					
1.00E-74	1.00E-74	1.00E-74	1.48E-53	5.12E-42	7.46E-34	4.59E-28	5.70E-24
4.37E-21	4.58E-19	1.16E-17	1.06E-16	4.65E-16	1.22E-15	2.23E-15	3.13E-15
3.62E-15	3.59E-15	3.14E-15	2.50E-15	1.87E-15	1.37E-15	9.99E-16	7.41E-16
5.62E-16	4.35E-16	3.46E-16	2.83E-16	2.36E-16	2.01E-16	1.74E-16	1.53E-16
1.36E-16	1.21E-16	1.09E-16					
1.00E-74	1.00E-74	1.00E-74	1.20E-53	3.90E-42	5.57E-34	3.37E-28	4.14E-24
3.16E-21	3.31E-19	8.39E-18	7.70E-17	3.42E-16	9.09E-16	1.68E-15	2.39E-15
2.80E-15	2.81E-15	2.50E-15	2.02E-15	1.54E-15	1.14E-15	8.50E-16	6.40E-16
4.93E-16	3.87E-16	3.12E-16	2.58E-16	2.18E-16	1.87E-16	1.64E-16	1.45E-16
1.29E-16	1.16E-16	1.05E-16					
1.00E-74	1.00E-74	1.00E-74	8.94E-54	2.66E-42	3.71E-34	2.20E-28	2.66E-24
2.01E-21	2.10E-19	5.31E-18	4.89E-17	2.18E-16	5.85E-16	1.09E-15	1.57E-15
1.87E-15	1.91E-15	1.73E-15	1.42E-15	1.11E-15	8.42E-16	6.41E-16	4.94E-16
3.89E-16	3.13E-16	2.57E-16	2.17E-16	1.86E-16	1.62E-16	1.44E-16	1.29E-16
1.17E-16	1.06E-16	9.69E-17					
1.00E-74	1.00E-74	1.00E-74	5.94E-54	1.78E-42	2.44E-34	1.42E-28	1.68E-24
1.24E-21	1.28E-19	3.20E-18	2.92E-17	1.30E-16	3.50E-16	6.56E-16	9.51E-16
1.14E-15	1.18E-15	1.08E-15	9.10E-16	7.26E-16	5.67E-16	4.43E-16	3.51E-16
2.83E-16	2.32E-16	1.95E-16	1.67E-16	1.46E-16	1.30E-16	1.17E-16	1.07E-16
9.79E-17	9.03E-17	8.36E-17					
1.00E-74	1.00E-74	1.00E-74	4.43E-54	1.31E-42	1.79E-34	1.02E-28	1.17E-24
8.38E-22	8.34E-20	2.03E-18	1.82E-17	8.01E-17	2.14E-16	3.99E-16	5.79E-16
6.97E-16	7.30E-16	6.84E-16	5.91E-16	4.87E-16	3.94E-16	3.19E-16	2.60E-16
2.15E-16	1.80E-16	1.53E-16	1.33E-16	1.17E-16	1.04E-16	9.41E-17	8.61E-17
7.95E-17	7.38E-17	6.90E-17					
1.00E-74	1.00E-74	1.00E-74	3.54E-54	1.09E-42	1.53E-34	8.66E-29	9.63E-25
6.53E-22	6.16E-20	1.42E-18	1.22E-17	5.25E-17	1.37E-16	2.54E-16	3.66E-16
4.43E-16	4.72E-16	4.54E-16	4.07E-16	3.52E-16	2.99E-16	2.54E-16	2.17E-16
1.86E-16	1.61E-16	1.39E-16	1.22E-16	1.08E-16	9.64E-17	8.65E-17	7.84E-17
7.16E-17	6.58E-17	6.09E-17					
1.00E-74	1.00E-74	1.00E-74	3.10E-54	9.77E-43	1.40E-34	8.04E-29	8.81E-25
5.70E-22	5.03E-20	1.08E-18	8.73E-18	3.57E-17	9.04E-17	1.63E-16	2.32E-16
2.81E-16	3.02E-16	2.98E-16	2.78E-16	2.51E-16	2.24E-16	2.00E-16	1.79E-16
1.61E-16	1.45E-16	1.30E-16	1.18E-16	1.07E-16	9.71E-17	8.83E-17	8.04E-17
7.34E-17	6.72E-17	6.17E-17					
5649.8	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    5
1.00E+06	2.46E+06	6.06E+06	1.49E+07	3.67E+07	9.05E+07	2.23E+08	5.48E+08
1.35E+09	3.32E+09	8.19E+09	2.02E+10	4.96E+10	1.22E+11	3.01E+11	7.41E+11
1.82E+12	4.49E+12	1.11E+13	2.72E+13	6.70E+13	1.65E+14	4.06E+14	1.00E+15
1.00E-01	1.40E-01	1.97E-01	2.76E-01	3.87E-01	5.44E-01	7.63E-01	1.07E+00
1.50E+00	2.11E+00	2.96E+00	4.15E+00	5.82E+00	8.16E+00	1.15E+01	1.61E+01
2.25E+01	3.16E+01	4.44E+01	6.22E+01	8.73E+01	1.23E+02	1.72E+02	2.41E+02
3.38E+02	4.75E+02	6.66E+02	9.35E+02	1.31E+03	1.84E+03	2.58E+03	3.62E+03
5.08E+03	7.13E+03	1.00E+04					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	1.06E-39	2.45E-32	4.05E-27	1.96E-23
7.78E-21	5.21E-19	9.86E-18	7.53E-17	2.99E-16	7.42E-16	1.30E-15	1.79E-15
2.07E-15	2.11E-15	1.99E-15	1.78E-15	1.53E-15	1.30E-15	1.09E-15	9.14E-16
7.66E-16	6.45E-16	5.44E-16	4.58E-16	3.85E-16	3.24E-16	2.73E-16	2.30E-16
1.94E-16	1.64E-16	1.39E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	1.08E-39	2.50E-32	4.12E-27	2.00E-23
7.92E-21	5.30E-19	1.00E-17	7.63E-17	3.03E-16	7.49E-16	1.31E-15	1.80E-15
2.08E-15	2.12E-15	1.99E-15	1.78E-15	1.53E-15	1.30E-15	1.09E-15	9.13E-16
7.66E-16	6.45E-16	5.44E-16	4.58E-16	3.85E-16	3.24E-16	2.73E-16	2.30E-16
1.94E-16	1.64E-16	1.39E-16					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	1.10E-39	2.54E-32	4.19E-27	2.03E-23
8.03E-21	5.36E-19	1.01E-17	7.70E-17	3.05E-16	7.53E-16	1.32E-15	1.81E-15
2.08E-15	2.12E-15	1.99E-15	1.78E-15	1.53E-15	1.30E-15	1.09E-15	9.13E-16
7.65E-16	6.44E-16	5.43E-16	4.58E-16	3.85E-16	3.24E-16	2.73E-16	2.30E-16
1.94E-16	1.64E-16	1.39E-16					
1.00E-74	1.00E-74	1.00E-74	9.29E-50	1.12E-39	2.59E-32	4.27E-27	2.07E-23
8.15E-21	5.43E-19	1.02E-17	7.76E-17	3.07E-16	7.57E-16	1.33E-15	1.81E-15
2.08E-15	2.12E-15	1.99E-15	1.78E-15	1.53E-15	1.30E-15	1.09E-15	9.12E-16
7.65E-16	6.44E-16	5.43E-16	4.57E-16	3.85E-16	3.24E-16	2.73E-16	2.30E-16
1.94E-16	1.64E-16	1.39E-16					
1.00E-74	1.00E-74	1.00E-74	3.77E-50	1.14E-39	2.64E-32	4.35E-27	2.10E-23
8.28E-21	5.51E-19	1.03E-17	7.83E-17	3.09E-16	7.60E-16	1.33E-15	1.82E-15
2.08E-15	2.12E-15	1.99E-15	1.77E-15	1.53E-15	1.30E-15	1.09E-15	9.12E-16
7.65E-16	6.44E-16	5.43E-16	4.57E-16	3.85E-16	3.24E-16	2.73E-16	2.30E-16
1.94E-16	1.64E-16	1.39E-16					
1.00E-74	1.00E-74	1.00E-74	4.60E-50	1.15E-39	2.67E-32	4.40E-27	2.13E-23
8.39E-21	5.57E-19	1.04E-17	7.89E-17	3.11E-16	7.63E-16	1.33E-15	1.82E-15
2.08E-15	2.12E-15	1.99E-15	1.77E-15	1.53E-15	1.30E-15	1.09E-15	9.12E-16
7.64E-16	6.44E-16	5.43E-16	4.57E-16	3.85E-16	3.24E-16	2.72E-16	2.30E-16
1.94E-16	1.64E-16	1.39E-16					
1.00E-74	1.00E-74	1.00E-74	4.98E-50	1.16E-39	2.68E-32	4.43E-27	2.15E-23
8.45E-21	5.61E-19	1.05E-17	7.93E-17	3.12E-16	7.65E-16	1.33E-15	1.82E-15
2.08E-15	2.12E-15	1.99E-15	1.77E-15	1.53E-15	1.30E-15	1.09E-15	9.11E-16
7.64E-16	6.44E-16	5.43E-16	4.57E-16	3.85E-16	3.24E-16	2.72E-16	2.30E-16
